ZONE I=5
0 0 0 
0.000785398 0.000496725 0 
0.0015708 0.00099345 0 
0.00235619 0.00149018 0 
0.00314159 0.0019869 0 
ZONE I=5
0.00314159 0.0019869 0 
0.00392699 0.00248362 0 
0.00471239 0.00298035 0 
0.00549779 0.00347707 0 
0.00628319 0.00397379 0 
ZONE I=5
0.00628319 0.00397379 0 
0.00706858 0.00447052 0 
0.00785398 0.00496724 0 
0.00863938 0.00546396 0 
0.00942478 0.00596068 0 
ZONE I=5
0.00942478 0.00596068 0 
0.0102102 0.00645739 0 
0.0109956 0.00695411 0 
0.011781 0.00745083 0 
0.0125664 0.00794754 0 
ZONE I=5
0.0125664 0.00794754 0 
0.0133518 0.00844426 0 
0.0141372 0.00894097 0 
0.0149226 0.00943768 0 
0.015708 0.00993438 0 
ZONE I=5
0.015708 0.00993438 0 
0.0164934 0.0104311 0 
0.0172788 0.0109278 0 
0.0180642 0.0114245 0 
0.0188496 0.0119212 0 
ZONE I=5
0.0188496 0.0119212 0 
0.019635 0.0124179 0 
0.0204204 0.0129146 0 
0.0212058 0.0134113 0 
0.0219911 0.013908 0 
ZONE I=5
0.0219911 0.013908 0 
0.0227765 0.0144047 0 
0.0235619 0.0149014 0 
0.0243473 0.015398 0 
0.0251327 0.0158947 0 
ZONE I=5
0.0251327 0.0158947 0 
0.0259181 0.0163914 0 
0.0267035 0.0168881 0 
0.0274889 0.0173847 0 
0.0282743 0.0178814 0 
ZONE I=5
0.0282743 0.0178814 0 
0.0290597 0.0183781 0 
0.0298451 0.0188747 0 
0.0306305 0.0193714 0 
0.0314159 0.0198681 0 
ZONE I=5
0.0314159 0.0198681 0 
0.0322013 0.0203647 0 
0.0329867 0.0208614 0 
0.0337721 0.021358 0 
0.0345575 0.0218546 0 
ZONE I=5
0.0345575 0.0218546 0 
0.0353429 0.0223513 0 
0.0361283 0.0228479 0 
0.0369137 0.0233445 0 
0.0376991 0.0238412 0 
ZONE I=5
0.0376991 0.0238412 0 
0.0384845 0.0243378 0 
0.0392699 0.0248344 0 
0.0400553 0.025331 0 
0.0408407 0.0258276 0 
ZONE I=5
0.0408407 0.0258276 0 
0.0416261 0.0263242 0 
0.0424115 0.0268208 0 
0.0431969 0.0273174 0 
0.0439823 0.027814 0 
ZONE I=5
0.0439823 0.027814 0 
0.0447677 0.0283106 0 
0.0455531 0.0288071 0 
0.0463385 0.0293037 0 
0.0471239 0.0298003 0 
ZONE I=5
0.0471239 0.0298003 0 
0.0479093 0.0302968 0 
0.0486947 0.0307934 0 
0.0494801 0.03129 0 
0.0502655 0.0317865 0 
ZONE I=5
0.0502655 0.0317865 0 
0.0510509 0.032283 0 
0.0518363 0.0327796 0 
0.0526217 0.0332761 0 
0.0534071 0.0337726 0 
ZONE I=5
0.0534071 0.0337726 0 
0.0541925 0.0342691 0 
0.0549779 0.0347656 0 
0.0557633 0.0352621 0 
0.0565487 0.0357586 0 
ZONE I=5
0.0565487 0.0357586 0 
0.0573341 0.0362551 0 
0.0581195 0.0367516 0 
0.0589049 0.0372481 0 
0.0596903 0.0377446 0 
ZONE I=5
0.0596903 0.0377446 0 
0.0604757 0.038241 0 
0.0612611 0.0387375 0 
0.0620465 0.0392339 0 
0.0628319 0.0397304 0 
ZONE I=5
0.0628319 0.0397304 0 
0.0636173 0.0402268 0 
0.0644026 0.0407232 0 
0.065188 0.0412196 0 
0.0659734 0.0417161 0 
ZONE I=5
0.0659734 0.0417161 0 
0.0667588 0.0422125 0 
0.0675442 0.0427089 0 
0.0683296 0.0432052 0 
0.069115 0.0437016 0 
ZONE I=5
0.069115 0.0437016 0 
0.0699004 0.044198 0 
0.0706858 0.0446944 0 
0.0714712 0.0451907 0 
0.0722566 0.0456871 0 
ZONE I=5
0.0722566 0.0456871 0 
0.073042 0.0461834 0 
0.0738274 0.0466798 0 
0.0746128 0.0471761 0 
0.0753982 0.0476724 0 
ZONE I=5
0.0753982 0.0476724 0 
0.0761836 0.0481687 0 
0.076969 0.048665 0 
0.0777544 0.0491613 0 
0.0785398 0.0496576 0 
ZONE I=5
0.0785398 0.0496576 0 
0.0793252 0.0501538 0 
0.0801106 0.0506501 0 
0.080896 0.0511464 0 
0.0816814 0.0516426 0 
ZONE I=5
0.0816814 0.0516426 0 
0.0824668 0.0521388 0 
0.0832522 0.0526351 0 
0.0840376 0.0531313 0 
0.084823 0.0536275 0 
ZONE I=5
0.084823 0.0536275 0 
0.0856084 0.0541237 0 
0.0863938 0.0546199 0 
0.0871792 0.0551161 0 
0.0879646 0.0556122 0 
ZONE I=5
0.0879646 0.0556122 0 
0.08875 0.0561084 0 
0.0895354 0.0566045 0 
0.0903208 0.0571007 0 
0.0911062 0.0575968 0 
ZONE I=5
0.0911062 0.0575968 0 
0.0918916 0.0580929 0 
0.092677 0.058589 0 
0.0934624 0.0590851 0 
0.0942478 0.0595812 0 
ZONE I=5
0.0942478 0.0595812 0 
0.0950332 0.0600773 0 
0.0958186 0.0605733 0 
0.096604 0.0610694 0 
0.0973894 0.0615654 0 
ZONE I=5
0.0973894 0.0615654 0 
0.0981748 0.0620614 0 
0.0989602 0.0625575 0 
0.0997456 0.0630535 0 
0.100531 0.0635495 0 
ZONE I=5
0.100531 0.0635495 0 
0.101316 0.0640455 0 
0.102102 0.0645414 0 
0.102887 0.0650374 0 
0.103673 0.0655333 0 
ZONE I=5
0.103673 0.0655333 0 
0.104458 0.0660293 0 
0.105243 0.0665252 0 
0.106029 0.0670211 0 
0.106814 0.067517 0 
ZONE I=5
0.106814 0.067517 0 
0.1076 0.0680129 0 
0.108385 0.0685088 0 
0.10917 0.0690046 0 
0.109956 0.0695005 0 
ZONE I=5
0.109956 0.0695005 0 
0.110741 0.0699963 0 
0.111527 0.0704922 0 
0.112312 0.070988 0 
0.113097 0.0714838 0 
ZONE I=5
0.113097 0.0714838 0 
0.113883 0.0719796 0 
0.114668 0.0724753 0 
0.115454 0.0729711 0 
0.116239 0.0734668 0 
ZONE I=5
0.116239 0.0734668 0 
0.117024 0.0739626 0 
0.11781 0.0744583 0 
0.118595 0.074954 0 
0.119381 0.0754497 0 
ZONE I=5
0.119381 0.0754497 0 
0.120166 0.0759454 0 
0.120951 0.0764411 0 
0.121737 0.0769367 0 
0.122522 0.0774324 0 
ZONE I=5
0.122522 0.0774324 0 
0.123308 0.077928 0 
0.124093 0.0784236 0 
0.124878 0.0789192 0 
0.125664 0.0794148 0 
ZONE I=5
0.125664 0.0794148 0 
0.126449 0.0799103 0 
0.127235 0.0804059 0 
0.12802 0.0809014 0 
0.128805 0.081397 0 
ZONE I=5
0.128805 0.081397 0 
0.129591 0.0818925 0 
0.130376 0.082388 0 
0.131161 0.0828834 0 
0.131947 0.0833789 0 
ZONE I=5
0.131947 0.0833789 0 
0.132732 0.0838744 0 
0.133518 0.0843698 0 
0.134303 0.0848652 0 
0.135088 0.0853606 0 
ZONE I=5
0.135088 0.0853606 0 
0.135874 0.085856 0 
0.136659 0.0863514 0 
0.137445 0.0868467 0 
0.13823 0.0873421 0 
ZONE I=5
0.13823 0.0873421 0 
0.139015 0.0878374 0 
0.139801 0.0883327 0 
0.140586 0.088828 0 
0.141372 0.0893233 0 
ZONE I=5
0.141372 0.0893233 0 
0.142157 0.0898186 0 
0.142942 0.0903138 0 
0.143728 0.090809 0 
0.144513 0.0913042 0 
ZONE I=5
0.144513 0.0913042 0 
0.145299 0.0917994 0 
0.146084 0.0922946 0 
0.146869 0.0927898 0 
0.147655 0.0932849 0 
ZONE I=5
0.147655 0.0932849 0 
0.14844 0.0937801 0 
0.149226 0.0942752 0 
0.150011 0.0947703 0 
0.150796 0.0952653 0 
ZONE I=5
0.150796 0.0952653 0 
0.151582 0.0957604 0 
0.152367 0.0962554 0 
0.153153 0.0967505 0 
0.153938 0.0972455 0 
ZONE I=5
0.153938 0.0972455 0 
0.154723 0.0977405 0 
