ZONE I=5
0 0 0 
0.000785398 0.000383895 0 
0.0015708 0.000767791 0 
0.00235619 0.00115169 0 
0.00314159 0.00153558 0 
ZONE I=5
0.00314159 0.00153558 0 
0.00392699 0.00191948 0 
0.00471239 0.00230337 0 
0.00549779 0.00268727 0 
0.00628319 0.00307116 0 
ZONE I=5
0.00628319 0.00307116 0 
0.00706858 0.00345505 0 
0.00785398 0.00383895 0 
0.00863938 0.00422284 0 
0.00942478 0.00460673 0 
ZONE I=5
0.00942478 0.00460673 0 
0.0102102 0.00499063 0 
0.0109956 0.00537452 0 
0.011781 0.00575841 0 
0.0125664 0.0061423 0 
ZONE I=5
0.0125664 0.0061423 0 
0.0133518 0.00652619 0 
0.0141372 0.00691008 0 
0.0149226 0.00729397 0 
0.015708 0.00767786 0 
ZONE I=5
0.015708 0.00767786 0 
0.0164934 0.00806175 0 
0.0172788 0.00844564 0 
0.0180642 0.00882952 0 
0.0188496 0.00921341 0 
ZONE I=5
0.0188496 0.00921341 0 
0.019635 0.00959729 0 
0.0204204 0.00998118 0 
0.0212058 0.0103651 0 
0.0219911 0.0107489 0 
ZONE I=5
0.0219911 0.0107489 0 
0.0227765 0.0111328 0 
0.0235619 0.0115167 0 
0.0243473 0.0119006 0 
0.0251327 0.0122845 0 
ZONE I=5
0.0251327 0.0122845 0 
0.0259181 0.0126683 0 
0.0267035 0.0130522 0 
0.0274889 0.0134361 0 
0.0282743 0.01382 0 
ZONE I=5
0.0282743 0.01382 0 
0.0290597 0.0142038 0 
0.0298451 0.0145877 0 
0.0306305 0.0149716 0 
0.0314159 0.0153554 0 
ZONE I=5
0.0314159 0.0153554 0 
0.0322013 0.0157393 0 
0.0329867 0.0161232 0 
0.0337721 0.016507 0 
0.0345575 0.0168909 0 
ZONE I=5
0.0345575 0.0168909 0 
0.0353429 0.0172748 0 
0.0361283 0.0176586 0 
0.0369137 0.0180425 0 
0.0376991 0.0184263 0 
ZONE I=5
0.0376991 0.0184263 0 
0.0384845 0.0188102 0 
0.0392699 0.019194 0 
0.0400553 0.0195779 0 
0.0408407 0.0199617 0 
ZONE I=5
0.0408407 0.0199617 0 
0.0416261 0.0203456 0 
0.0424115 0.0207294 0 
0.0431969 0.0211133 0 
0.0439823 0.0214971 0 
ZONE I=5
0.0439823 0.0214971 0 
0.0447677 0.021881 0 
0.0455531 0.0222648 0 
0.0463385 0.0226486 0 
0.0471239 0.0230325 0 
ZONE I=5
0.0471239 0.0230325 0 
0.0479093 0.0234163 0 
0.0486947 0.0238001 0 
0.0494801 0.024184 0 
0.0502655 0.0245678 0 
ZONE I=5
0.0502655 0.0245678 0 
0.0510509 0.0249516 0 
0.0518363 0.0253354 0 
0.0526217 0.0257192 0 
0.0534071 0.0261031 0 
ZONE I=5
0.0534071 0.0261031 0 
0.0541925 0.0264869 0 
0.0549779 0.0268707 0 
0.0557633 0.0272545 0 
0.0565487 0.0276383 0 
ZONE I=5
0.0565487 0.0276383 0 
0.0573341 0.0280221 0 
0.0581195 0.0284059 0 
0.0589049 0.0287897 0 
0.0596903 0.0291735 0 
ZONE I=5
0.0596903 0.0291735 0 
0.0604757 0.0295573 0 
0.0612611 0.0299411 0 
0.0620465 0.0303249 0 
0.0628319 0.0307086 0 
ZONE I=5
0.0628319 0.0307086 0 
0.0636173 0.0310924 0 
0.0644026 0.0314762 0 
0.065188 0.03186 0 
0.0659734 0.0322438 0 
ZONE I=5
0.0659734 0.0322438 0 
0.0667588 0.0326275 0 
0.0675442 0.0330113 0 
0.0683296 0.0333951 0 
0.069115 0.0337788 0 
ZONE I=5
0.069115 0.0337788 0 
0.0699004 0.0341626 0 
0.0706858 0.0345463 0 
0.0714712 0.0349301 0 
0.0722566 0.0353138 0 
ZONE I=5
0.0722566 0.0353138 0 
0.073042 0.0356976 0 
0.0738274 0.0360813 0 
0.0746128 0.0364651 0 
0.0753982 0.0368488 0 
ZONE I=5
0.0753982 0.0368488 0 
0.0761836 0.0372325 0 
0.076969 0.0376163 0 
0.0777544 0.038 0 
0.0785398 0.0383837 0 
ZONE I=5
0.0785398 0.0383837 0 
0.0793252 0.0387674 0 
0.0801106 0.0391511 0 
0.080896 0.0395349 0 
0.0816814 0.0399186 0 
ZONE I=5
0.0816814 0.0399186 0 
0.0824668 0.0403023 0 
0.0832522 0.040686 0 
0.0840376 0.0410697 0 
0.084823 0.0414534 0 
ZONE I=5
0.084823 0.0414534 0 
0.0856084 0.0418371 0 
0.0863938 0.0422207 0 
0.0871792 0.0426044 0 
0.0879646 0.0429881 0 
ZONE I=5
0.0879646 0.0429881 0 
0.08875 0.0433718 0 
0.0895354 0.0437554 0 
0.0903208 0.0441391 0 
0.0911062 0.0445228 0 
ZONE I=5
0.0911062 0.0445228 0 
0.0918916 0.0449064 0 
0.092677 0.0452901 0 
0.0934624 0.0456737 0 
0.0942478 0.0460574 0 
ZONE I=5
0.0942478 0.0460574 0 
0.0950332 0.046441 0 
0.0958186 0.0468247 0 
0.096604 0.0472083 0 
0.0973894 0.0475919 0 
ZONE I=5
0.0973894 0.0475919 0 
0.0981748 0.0479755 0 
0.0989602 0.0483592 0 
0.0997456 0.0487428 0 
0.100531 0.0491264 0 
ZONE I=5
0.100531 0.0491264 0 
0.101316 0.04951 0 
0.102102 0.0498936 0 
0.102887 0.0502772 0 
0.103673 0.0506608 0 
ZONE I=5
0.103673 0.0506608 0 
0.104458 0.0510444 0 
0.105243 0.051428 0 
0.106029 0.0518115 0 
0.106814 0.0521951 0 
ZONE I=5
0.106814 0.0521951 0 
0.1076 0.0525787 0 
0.108385 0.0529622 0 
0.10917 0.0533458 0 
0.109956 0.0537294 0 
ZONE I=5
0.109956 0.0537294 0 
0.110741 0.0541129 0 
0.111527 0.0544965 0 
0.112312 0.05488 0 
0.113097 0.0552635 0 
ZONE I=5
0.113097 0.0552635 0 
0.113883 0.0556471 0 
0.114668 0.0560306 0 
0.115454 0.0564141 0 
0.116239 0.0567976 0 
ZONE I=5
0.116239 0.0567976 0 
0.117024 0.0571811 0 
0.11781 0.0575646 0 
0.118595 0.0579481 0 
0.119381 0.0583316 0 
ZONE I=5
0.119381 0.0583316 0 
0.120166 0.0587151 0 
0.120951 0.0590986 0 
0.121737 0.0594821 0 
0.122522 0.0598655 0 
ZONE I=5
0.122522 0.0598655 0 
0.123308 0.060249 0 
0.124093 0.0606325 0 
0.124878 0.0610159 0 
0.125664 0.0613994 0 
ZONE I=5
0.125664 0.0613994 0 
0.126449 0.0617828 0 
0.127235 0.0621663 0 
0.12802 0.0625497 0 
0.128805 0.0629331 0 
ZONE I=5
0.128805 0.0629331 0 
0.129591 0.0633165 0 
0.130376 0.0637 0 
0.131161 0.0640834 0 
0.131947 0.0644668 0 
ZONE I=5
0.131947 0.0644668 0 
0.132732 0.0648502 0 
0.133518 0.0652336 0 
0.134303 0.0656169 0 
0.135088 0.0660003 0 
ZONE I=5
0.135088 0.0660003 0 
0.135874 0.0663837 0 
0.136659 0.0667671 0 
0.137445 0.0671504 0 
0.13823 0.0675338 0 
ZONE I=5
0.13823 0.0675338 0 
0.139015 0.0679171 0 
0.139801 0.0683005 0 
0.140586 0.0686838 0 
0.141372 0.0690671 0 
ZONE I=5
0.141372 0.0690671 0 
0.142157 0.0694505 0 
0.142942 0.0698338 0 
0.143728 0.0702171 0 
0.144513 0.0706004 0 
ZONE I=5
0.144513 0.0706004 0 
0.145299 0.0709837 0 
0.146084 0.071367 0 
0.146869 0.0717503 0 
0.147655 0.0721336 0 
ZONE I=5
0.147655 0.0721336 0 
0.14844 0.0725168 0 
0.149226 0.0729001 0 
0.150011 0.0732834 0 
0.150796 0.0736666 0 
ZONE I=5
0.150796 0.0736666 0 
0.151582 0.0740499 0 
0.152367 0.0744331 0 
0.153153 0.0748163 0 
0.153938 0.0751996 0 
ZONE I=5
0.153938 0.0751996 0 
0.154723 0.0755828 0 
0.155509 0.075966 0 
0.156294 0.0763492 0 
0.15708 0.0767324 0 
ZONE I=5
0.15708 0.0767324 0 
0.157865 0.0771156 0 
0.15865 0.0774988 0 
0.159436 0.0778819 0 
0.160221 0.0782651 0 
ZONE I=5
0.160221 0.0782651 0 
0.161007 0.0786483 0 
0.161792 0.0790314 0 
0.162577 0.0794146 0 
0.163363 0.0797977 0 
ZONE I=5
0.163363 0.0797977 0 
0.164148 0.0801809 0 
0.164934 0.080564 0 
0.165719 0.0809471 0 
0.166504 0.0813302 0 
ZONE I=5
0.166504 0.0813302 0 
0.16729 0.0817133 0 
0.168075 0.0820964 0 
0.168861 0.0824795 0 
0.169646 0.0828626 0 
ZONE I=5
0.169646 0.0828626 0 
0.170431 0.0832457 0 
0.171217 0.0836287 0 
0.172002 0.0840118 0 
0.172788 0.0843948 0 
ZONE I=5
0.172788 0.0843948 0 
0.173573 0.0847779 0 
0.174358 0.0851609 0 
0.175144 0.0855439 0 
0.175929 0.085927 0 
ZONE I=5
0.175929 0.085927 0 
0.176715 0.08631 0 
0.1775 0.086693 0 
0.178285 0.087076 0 
0.179071 0.087459 0 
ZONE I=5
0.179071 0.087459 0 
0.179856 0.0878419 0 
0.180642 0.0882249 0 
0.181427 0.0886079 0 
0.182212 0.0889908 0 
ZONE I=5
0.182212 0.0889908 0 
0.182998 0.0893738 0 
0.183783 0.0897567 0 
0.184569 0.0901396 0 
0.185354 0.0905226 0 
ZONE I=5
0.185354 0.0905226 0 
0.186139 0.0909055 0 
0.186925 0.0912884 0 
0.18771 0.0916713 0 
0.188496 0.0920542 0 
ZONE I=5
0.188496 0.0920542 0 
0.189281 0.0924371 0 
0.190066 0.0928199 0 
0.190852 0.0932028 0 
0.191637 0.0935856 0 
ZONE I=5
0.191637 0.0935856 0 
0.192423 0.0939685 0 
0.193208 0.0943513 0 
0.193993 0.0947342 0 
0.194779 0.095117 0 
ZONE I=5
0.194779 0.095117 0 
0.195564 0.0954998 0 
0.19635 0.0958826 0 
0.197135 0.0962654 0 
0.19792 0.0966482 0 
ZONE I=5
0.19792 0.0966482 0 
0.198706 0.097031 0 
0.199491 0.0974137 0 
0.200277 0.0977965 0 
0.201062 0.0981792 0 
ZONE I=5
0.201062 0.0981792 0 
0.201847 0.098562 0 
0.202633 0.0989447 0 
0.203418 0.0993274 0 
0.204204 0.0997101 0 
ZONE I=5
0.204204 0.0997101 0 
0.204989 0.100093 0 
0.205774 0.100476 0 
0.20656 0.100858 0 
0.207345 0.101241 0 
ZONE I=5
0.207345 0.101241 0 
0.208131 0.101624 0 
0.208916 0.102006 0 
0.209701 0.102389 0 
0.210487 0.102772 0 
ZONE I=5
0.210487 0.102772 0 
0.211272 0.103154 0 
0.212058 0.103537 0 
0.212843 0.103919 0 
0.213628 0.104302 0 
ZONE I=5
0.213628 0.104302 0 
0.214414 0.104685 0 
0.215199 0.105067 0 
0.215984 0.10545 0 
0.21677 0.105832 0 
ZONE I=5
0.21677 0.105832 0 
0.217555 0.106215 0 
0.218341 0.106597 0 
0.219126 0.10698 0 
0.219911 0.107362 0 
ZONE I=5
0.219911 0.107362 0 
0.220697 0.107745 0 
0.221482 0.108127 0 
0.222268 0.10851 0 
0.223053 0.108892 0 
ZONE I=5
0.223053 0.108892 0 
0.223838 0.109275 0 
0.224624 0.109657 0 
0.225409 0.11004 0 
0.226195 0.110422 0 
ZONE I=5
0.226195 0.110422 0 
0.22698 0.110805 0 
0.227765 0.111187 0 
0.228551 0.11157 0 
0.229336 0.111952 0 
ZONE I=5
0.229336 0.111952 0 
0.230122 0.112334 0 
0.230907 0.112717 0 
0.231692 0.113099 0 
0.232478 0.113481 0 
ZONE I=5
0.232478 0.113481 0 
0.233263 0.113864 0 
0.234049 0.114246 0 
0.234834 0.114628 0 
0.235619 0.115011 0 
ZONE I=5
0.235619 0.115011 0 
0.236405 0.115393 0 
0.23719 0.115775 0 
0.237976 0.116158 0 
0.238761 0.11654 0 
ZONE I=5
0.238761 0.11654 0 
0.239546 0.116922 0 
0.240332 0.117304 0 
0.241117 0.117687 0 
0.241903 0.118069 0 
ZONE I=5
0.241903 0.118069 0 
0.242688 0.118451 0 
0.243473 0.118833 0 
0.244259 0.119216 0 
0.245044 0.119598 0 
ZONE I=5
0.245044 0.119598 0 
0.24583 0.11998 0 
0.246615 0.120362 0 
0.2474 0.120744 0 
0.248186 0.121126 0 
ZONE I=5
0.248186 0.121126 0 
0.248971 0.121509 0 
0.249757 0.121891 0 
0.250542 0.122273 0 
0.251327 0.122655 0 
ZONE I=5
0.251327 0.122655 0 
0.252113 0.123037 0 
0.252898 0.123419 0 
0.253684 0.123801 0 
0.254469 0.124183 0 
ZONE I=5
0.254469 0.124183 0 
0.255254 0.124565 0 
0.25604 0.124947 0 
0.256825 0.125329 0 
0.257611 0.125711 0 
ZONE I=5
0.257611 0.125711 0 
0.258396 0.126093 0 
0.259181 0.126475 0 
0.259967 0.126857 0 
0.260752 0.127239 0 
ZONE I=5
0.260752 0.127239 0 
0.261538 0.127621 0 
0.262323 0.128003 0 
0.263108 0.128385 0 
0.263894 0.128767 0 
ZONE I=5
0.263894 0.128767 0 
0.264679 0.129149 0 
0.265465 0.129531 0 
0.26625 0.129913 0 
0.267035 0.130294 0 
ZONE I=5
0.267035 0.130294 0 
0.267821 0.130676 0 
0.268606 0.131058 0 
0.269392 0.13144 0 
0.270177 0.131822 0 
ZONE I=5
0.270177 0.131822 0 
0.270962 0.132204 0 
0.271748 0.132585 0 
0.272533 0.132967 0 
0.273319 0.133349 0 
ZONE I=5
0.273319 0.133349 0 
0.274104 0.133731 0 
0.274889 0.134112 0 
0.275675 0.134494 0 
0.27646 0.134876 0 
ZONE I=5
0.27646 0.134876 0 
0.277246 0.135258 0 
0.278031 0.135639 0 
0.278816 0.136021 0 
0.279602 0.136403 0 
ZONE I=5
0.279602 0.136403 0 
0.280387 0.136784 0 
0.281173 0.137166 0 
0.281958 0.137548 0 
0.282743 0.137929 0 
ZONE I=5
0.282743 0.137929 0 
0.283529 0.138311 0 
0.284314 0.138692 0 
0.2851 0.139074 0 
0.285885 0.139456 0 
ZONE I=5
0.285885 0.139456 0 
0.28667 0.139837 0 
0.287456 0.140219 0 
0.288241 0.1406 0 
0.289027 0.140982 0 
ZONE I=5
0.289027 0.140982 0 
0.289812 0.141363 0 
0.290597 0.141745 0 
0.291383 0.142126 0 
0.292168 0.142508 0 
ZONE I=5
0.292168 0.142508 0 
0.292954 0.142889 0 
0.293739 0.143271 0 
0.294524 0.143652 0 
0.29531 0.144033 0 
ZONE I=5
0.29531 0.144033 0 
0.296095 0.144415 0 
0.296881 0.144796 0 
0.297666 0.145177 0 
0.298451 0.145559 0 
ZONE I=5
0.298451 0.145559 0 
0.299237 0.14594 0 
0.300022 0.146322 0 
0.300807 0.146703 0 
0.301593 0.147084 0 
ZONE I=5
0.301593 0.147084 0 
0.302378 0.147465 0 
0.303164 0.147847 0 
0.303949 0.148228 0 
0.304734 0.148609 0 
ZONE I=5
0.304734 0.148609 0 
0.30552 0.14899 0 
0.306305 0.149372 0 
0.307091 0.149753 0 
0.307876 0.150134 0 
ZONE I=5
0.307876 0.150134 0 
0.308661 0.150515 0 
0.309447 0.150896 0 
0.310232 0.151278 0 
0.311018 0.151659 0 
ZONE I=5
0.311018 0.151659 0 
0.311803 0.15204 0 
0.312588 0.152421 0 
0.313374 0.152802 0 
0.314159 0.153183 0 
ZONE I=5
0.314159 0.153183 0 
0.314945 0.153564 0 
0.31573 0.153945 0 
0.316515 0.154326 0 
0.317301 0.154707 0 
ZONE I=5
0.317301 0.154707 0 
0.318086 0.155088 0 
0.318872 0.155469 0 
0.319657 0.15585 0 
0.320442 0.156231 0 
ZONE I=5
0.320442 0.156231 0 
0.321228 0.156612 0 
0.322013 0.156993 0 
0.322799 0.157374 0 
0.323584 0.157755 0 
ZONE I=5
0.323584 0.157755 0 
0.324369 0.158136 0 
0.325155 0.158517 0 
0.32594 0.158898 0 
0.326726 0.159278 0 
ZONE I=5
0.326726 0.159278 0 
0.327511 0.159659 0 
0.328296 0.16004 0 
0.329082 0.160421 0 
0.329867 0.160802 0 
ZONE I=5
0.329867 0.160802 0 
0.330653 0.161182 0 
0.331438 0.161563 0 
0.332223 0.161944 0 
0.333009 0.162325 0 
ZONE I=5
0.333009 0.162325 0 
0.333794 0.162705 0 
0.33458 0.163086 0 
0.335365 0.163467 0 
0.33615 0.163847 0 
ZONE I=5
0.33615 0.163847 0 
0.336936 0.164228 0 
0.337721 0.164609 0 
0.338507 0.164989 0 
0.339292 0.16537 0 
ZONE I=5
0.339292 0.16537 0 
0.340077 0.16575 0 
0.340863 0.166131 0 
0.341648 0.166512 0 
0.342434 0.166892 0 
ZONE I=5
0.342434 0.166892 0 
0.343219 0.167273 0 
0.344004 0.167653 0 
0.34479 0.168034 0 
0.345575 0.168414 0 
ZONE I=5
0.345575 0.168414 0 
0.346361 0.168795 0 
0.347146 0.169175 0 
0.347931 0.169555 0 
0.348717 0.169936 0 
ZONE I=5
0.348717 0.169936 0 
0.349502 0.170316 0 
0.350288 0.170697 0 
0.351073 0.171077 0 
0.351858 0.171457 0 
ZONE I=5
0.351858 0.171457 0 
0.352644 0.171838 0 
0.353429 0.172218 0 
0.354215 0.172598 0 
0.355 0.172979 0 
ZONE I=5
0.355 0.172979 0 
0.355785 0.173359 0 
0.356571 0.173739 0 
0.357356 0.174119 0 
0.358142 0.1745 0 
ZONE I=5
0.358142 0.1745 0 
0.358927 0.17488 0 
0.359712 0.17526 0 
0.360498 0.17564 0 
0.361283 0.17602 0 
ZONE I=5
0.361283 0.17602 0 
0.362069 0.1764 0 
0.362854 0.176781 0 
0.363639 0.177161 0 
0.364425 0.177541 0 
ZONE I=5
0.364425 0.177541 0 
0.36521 0.177921 0 
0.365996 0.178301 0 
0.366781 0.178681 0 
0.367566 0.179061 0 
ZONE I=5
0.367566 0.179061 0 
0.368352 0.179441 0 
0.369137 0.179821 0 
0.369923 0.180201 0 
0.370708 0.180581 0 
ZONE I=5
0.370708 0.180581 0 
0.371493 0.180961 0 
0.372279 0.181341 0 
0.373064 0.181721 0 
0.37385 0.182101 0 
ZONE I=5
0.37385 0.182101 0 
0.374635 0.18248 0 
0.37542 0.18286 0 
0.376206 0.18324 0 
0.376991 0.18362 0 
ZONE I=5
0.376991 0.18362 0 
0.377777 0.184 0 
0.378562 0.18438 0 
0.379347 0.184759 0 
0.380133 0.185139 0 
ZONE I=5
0.380133 0.185139 0 
0.380918 0.185519 0 
0.381704 0.185899 0 
0.382489 0.186278 0 
0.383274 0.186658 0 
ZONE I=5
0.383274 0.186658 0 
0.38406 0.187038 0 
0.384845 0.187417 0 
0.38563 0.187797 0 
0.386416 0.188176 0 
ZONE I=5
0.386416 0.188176 0 
0.387201 0.188556 0 
0.387987 0.188936 0 
0.388772 0.189315 0 
0.389557 0.189695 0 
ZONE I=5
0.389557 0.189695 0 
0.390343 0.190074 0 
0.391128 0.190454 0 
0.391914 0.190833 0 
0.392699 0.191213 0 
ZONE I=5
0.392699 0.191213 0 
0.393484 0.191592 0 
0.39427 0.191972 0 
0.395055 0.192351 0 
0.395841 0.19273 0 
ZONE I=5
0.395841 0.19273 0 
0.396626 0.19311 0 
0.397411 0.193489 0 
0.398197 0.193868 0 
0.398982 0.194248 0 
ZONE I=5
0.398982 0.194248 0 
0.399768 0.194627 0 
0.400553 0.195006 0 
0.401338 0.195386 0 
0.402124 0.195765 0 
ZONE I=5
0.402124 0.195765 0 
0.402909 0.196144 0 
0.403695 0.196523 0 
0.40448 0.196903 0 
0.405265 0.197282 0 
ZONE I=5
0.405265 0.197282 0 
0.406051 0.197661 0 
0.406836 0.19804 0 
0.407622 0.198419 0 
0.408407 0.198798 0 
ZONE I=5
0.408407 0.198798 0 
0.409192 0.199177 0 
0.409978 0.199556 0 
0.410763 0.199935 0 
0.411549 0.200314 0 
ZONE I=5
0.411549 0.200314 0 
0.412334 0.200693 0 
0.413119 0.201072 0 
0.413905 0.201451 0 
0.41469 0.20183 0 
ZONE I=5
0.41469 0.20183 0 
0.415476 0.202209 0 
0.416261 0.202588 0 
0.417046 0.202967 0 
0.417832 0.203346 0 
ZONE I=5
0.417832 0.203346 0 
0.418617 0.203725 0 
0.419403 0.204104 0 
0.420188 0.204482 0 
