ZONE I=5
0 0 0 
0.000785398 0.000883557 0 
0.0015708 0.00176711 0 
0.00235619 0.00265067 0 
0.00314159 0.00353422 0 
ZONE I=5
0.00314159 0.00353422 0 
0.00392699 0.00441777 0 
0.00471239 0.00530131 0 
0.00549779 0.00618485 0 
0.00628319 0.00706839 0 
ZONE I=5
0.00628319 0.00706839 0 
0.00706858 0.00795192 0 
0.00785398 0.00883544 0 
0.00863938 0.00971895 0 
0.00942478 0.0106025 0 
ZONE I=5
0.00942478 0.0106025 0 
0.0102102 0.0114859 0 
0.0109956 0.0123694 0 
0.011781 0.0132529 0 
0.0125664 0.0141364 0 
ZONE I=5
0.0125664 0.0141364 0 
0.0133518 0.0150198 0 
0.0141372 0.0159032 0 
0.0149226 0.0167867 0 
0.015708 0.0176701 0 
ZONE I=5
0.015708 0.0176701 0 
0.0164934 0.0185535 0 
0.0172788 0.0194368 0 
0.0180642 0.0203202 0 
0.0188496 0.0212035 0 
ZONE I=5
0.0188496 0.0212035 0 
0.019635 0.0220868 0 
0.0204204 0.0229701 0 
0.0212058 0.0238534 0 
0.0219911 0.0247367 0 
ZONE I=5
0.0219911 0.0247367 0 
0.0227765 0.0256199 0 
0.0235619 0.0265031 0 
0.0243473 0.0273863 0 
0.0251327 0.0282694 0 
ZONE I=5
0.0251327 0.0282694 0 
0.0259181 0.0291526 0 
0.0267035 0.0300357 0 
0.0274889 0.0309187 0 
0.0282743 0.0318018 0 
ZONE I=5
0.0282743 0.0318018 0 
0.0290597 0.0326848 0 
0.0298451 0.0335678 0 
0.0306305 0.0344508 0 
0.0314159 0.0353337 0 
ZONE I=5
0.0314159 0.0353337 0 
0.0322013 0.0362166 0 
0.0329867 0.0370995 0 
0.0337721 0.0379823 0 
0.0345575 0.0388651 0 
ZONE I=5
0.0345575 0.0388651 0 
0.0353429 0.0397478 0 
0.0361283 0.0406306 0 
0.0369137 0.0415133 0 
0.0376991 0.0423959 0 
ZONE I=5
0.0376991 0.0423959 0 
0.0384845 0.0432785 0 
0.0392699 0.0441611 0 
0.0400553 0.0450436 0 
0.0408407 0.0459261 0 
ZONE I=5
0.0408407 0.0459261 0 
0.0416261 0.0468086 0 
0.0424115 0.047691 0 
0.0431969 0.0485733 0 
0.0439823 0.0494556 0 
ZONE I=5
0.0439823 0.0494556 0 
0.0447677 0.0503379 0 
0.0455531 0.0512201 0 
0.0463385 0.0521023 0 
0.0471239 0.0529844 0 
ZONE I=5
0.0471239 0.0529844 0 
0.0479093 0.0538665 0 
0.0486947 0.0547486 0 
0.0494801 0.0556306 0 
0.0502655 0.0565125 0 
ZONE I=5
0.0502655 0.0565125 0 
0.0510509 0.0573944 0 
0.0518363 0.0582762 0 
0.0526217 0.059158 0 
0.0534071 0.0600397 0 
ZONE I=5
0.0534071 0.0600397 0 
0.0541925 0.0609214 0 
0.0549779 0.061803 0 
0.0557633 0.0626845 0 
0.0565487 0.063566 0 
ZONE I=5
0.0565487 0.063566 0 
0.0573341 0.0644475 0 
0.0581195 0.0653289 0 
0.0589049 0.0662102 0 
0.0596903 0.0670915 0 
ZONE I=5
0.0596903 0.0670915 0 
0.0604757 0.0679727 0 
0.0612611 0.0688538 0 
0.0620465 0.0697349 0 
0.0628319 0.0706159 0 
ZONE I=5
0.0628319 0.0706159 0 
0.0636173 0.0714968 0 
0.0644026 0.0723777 0 
0.065188 0.0732586 0 
0.0659734 0.0741393 0 
ZONE I=5
0.0659734 0.0741393 0 
0.0667588 0.07502 0 
0.0675442 0.0759006 0 
0.0683296 0.0767812 0 
0.069115 0.0776616 0 
ZONE I=5
0.069115 0.0776616 0 
0.0699004 0.078542 0 
0.0706858 0.0794224 0 
0.0714712 0.0803026 0 
0.0722566 0.0811828 0 
ZONE I=5
0.0722566 0.0811828 0 
0.073042 0.082063 0 
0.0738274 0.082943 0 
0.0746128 0.083823 0 
0.0753982 0.0847029 0 
ZONE I=5
0.0753982 0.0847029 0 
0.0761836 0.0855827 0 
0.076969 0.0864624 0 
0.0777544 0.0873421 0 
0.0785398 0.0882216 0 
ZONE I=5
0.0785398 0.0882216 0 
0.0793252 0.0891011 0 
0.0801106 0.0899806 0 
0.080896 0.0908599 0 
0.0816814 0.0917391 0 
ZONE I=5
0.0816814 0.0917391 0 
0.0824668 0.0926183 0 
0.0832522 0.0934974 0 
