ZONE I=5
0 0 0 
0.000785398 0.000496069 0 
0.0015708 0.000992137 0 
0.00235619 0.00148821 0 
0.00314159 0.00198427 0 
ZONE I=5
0.00314159 0.00198427 0 
0.00392699 0.00248034 0 
0.00471239 0.00297641 0 
0.00549779 0.00347248 0 
0.00628319 0.00396854 0 
ZONE I=5
0.00628319 0.00396854 0 
0.00706858 0.00446461 0 
0.00785398 0.00496067 0 
0.00863938 0.00545674 0 
0.00942478 0.0059528 0 
ZONE I=5
0.00942478 0.0059528 0 
0.0102102 0.00644886 0 
0.0109956 0.00694492 0 
0.011781 0.00744098 0 
0.0125664 0.00793704 0 
ZONE I=5
0.0125664 0.00793704 0 
0.0133518 0.0084331 0 
0.0141372 0.00892915 0 
0.0149226 0.0094252 0 
0.015708 0.00992126 0 
ZONE I=5
0.015708 0.00992126 0 
0.0164934 0.0104173 0 
0.0172788 0.0109134 0 
0.0180642 0.0114094 0 
0.0188496 0.0119054 0 
ZONE I=5
0.0188496 0.0119054 0 
0.019635 0.0124015 0 
0.0204204 0.0128975 0 
0.0212058 0.0133936 0 
0.0219911 0.0138896 0 
ZONE I=5
0.0219911 0.0138896 0 
0.0227765 0.0143856 0 
0.0235619 0.0148817 0 
0.0243473 0.0153777 0 
0.0251327 0.0158737 0 
ZONE I=5
0.0251327 0.0158737 0 
0.0259181 0.0163697 0 
0.0267035 0.0168658 0 
0.0274889 0.0173618 0 
0.0282743 0.0178578 0 
ZONE I=5
0.0282743 0.0178578 0 
0.0290597 0.0183538 0 
0.0298451 0.0188498 0 
0.0306305 0.0193458 0 
0.0314159 0.0198418 0 
ZONE I=5
0.0314159 0.0198418 0 
0.0322013 0.0203378 0 
0.0329867 0.0208338 0 
0.0337721 0.0213298 0 
0.0345575 0.0218258 0 
ZONE I=5
0.0345575 0.0218258 0 
0.0353429 0.0223217 0 
0.0361283 0.0228177 0 
0.0369137 0.0233137 0 
0.0376991 0.0238097 0 
ZONE I=5
0.0376991 0.0238097 0 
0.0384845 0.0243056 0 
0.0392699 0.0248016 0 
0.0400553 0.0252975 0 
0.0408407 0.0257935 0 
ZONE I=5
0.0408407 0.0257935 0 
0.0416261 0.0262894 0 
0.0424115 0.0267854 0 
0.0431969 0.0272813 0 
0.0439823 0.0277772 0 
ZONE I=5
0.0439823 0.0277772 0 
0.0447677 0.0282732 0 
0.0455531 0.0287691 0 
0.0463385 0.029265 0 
0.0471239 0.0297609 0 
ZONE I=5
0.0471239 0.0297609 0 
0.0479093 0.0302568 0 
0.0486947 0.0307527 0 
0.0494801 0.0312486 0 
0.0502655 0.0317445 0 
ZONE I=5
0.0502655 0.0317445 0 
0.0510509 0.0322404 0 
0.0518363 0.0327363 0 
0.0526217 0.0332321 0 
0.0534071 0.033728 0 
ZONE I=5
0.0534071 0.033728 0 
0.0541925 0.0342239 0 
0.0549779 0.0347197 0 
0.0557633 0.0352156 0 
0.0565487 0.0357114 0 
ZONE I=5
0.0565487 0.0357114 0 
0.0573341 0.0362072 0 
0.0581195 0.0367031 0 
0.0589049 0.0371989 0 
0.0596903 0.0376947 0 
ZONE I=5
0.0596903 0.0376947 0 
0.0604757 0.0381905 0 
0.0612611 0.0386863 0 
0.0620465 0.0391821 0 
0.0628319 0.0396779 0 
ZONE I=5
0.0628319 0.0396779 0 
0.0636173 0.0401737 0 
0.0644026 0.0406694 0 
0.065188 0.0411652 0 
0.0659734 0.041661 0 
ZONE I=5
0.0659734 0.041661 0 
0.0667588 0.0421567 0 
0.0675442 0.0426524 0 
0.0683296 0.0431482 0 
0.069115 0.0436439 0 
ZONE I=5
0.069115 0.0436439 0 
0.0699004 0.0441396 0 
