ZONE I=5
0 0 0 
0.000785398 0.000748876 0 
0.0015708 0.00149775 0 
0.00235619 0.00224663 0 
0.00314159 0.0029955 0 
ZONE I=5
0.00314159 0.0029955 0 
0.00392699 0.00374437 0 
0.00471239 0.00449324 0 
0.00549779 0.00524211 0 
0.00628319 0.00599097 0 
ZONE I=5
0.00628319 0.00599097 0 
0.00706858 0.00673984 0 
0.00785398 0.00748869 0 
0.00863938 0.00823755 0 
0.00942478 0.0089864 0 
ZONE I=5
0.00942478 0.0089864 0 
0.0102102 0.00973524 0 
0.0109956 0.0104841 0 
0.011781 0.0112329 0 
0.0125664 0.0119817 0 
ZONE I=5
0.0125664 0.0119817 0 
0.0133518 0.0127306 0 
0.0141372 0.0134794 0 
0.0149226 0.0142282 0 
0.015708 0.014977 0 
ZONE I=5
0.015708 0.014977 0 
0.0164934 0.0157258 0 
0.0172788 0.0164746 0 
0.0180642 0.0172233 0 
0.0188496 0.0179721 0 
ZONE I=5
0.0188496 0.0179721 0 
0.019635 0.0187208 0 
0.0204204 0.0194696 0 
0.0212058 0.0202183 0 
0.0219911 0.020967 0 
ZONE I=5
0.0219911 0.020967 0 
0.0227765 0.0217158 0 
0.0235619 0.0224645 0 
0.0243473 0.0232131 0 
0.0251327 0.0239618 0 
ZONE I=5
0.0251327 0.0239618 0 
0.0259181 0.0247105 0 
0.0267035 0.0254591 0 
0.0274889 0.0262078 0 
0.0282743 0.0269564 0 
ZONE I=5
0.0282743 0.0269564 0 
0.0290597 0.027705 0 
0.0298451 0.0284536 0 
0.0306305 0.0292022 0 
0.0314159 0.0299507 0 
ZONE I=5
0.0314159 0.0299507 0 
0.0322013 0.0306993 0 
0.0329867 0.0314478 0 
0.0337721 0.0321963 0 
0.0345575 0.0329448 0 
ZONE I=5
0.0345575 0.0329448 0 
0.0353429 0.0336933 0 
0.0361283 0.0344417 0 
0.0369137 0.0351902 0 
0.0376991 0.0359386 0 
ZONE I=5
0.0376991 0.0359386 0 
0.0384845 0.036687 0 
0.0392699 0.0374353 0 
0.0400553 0.0381837 0 
0.0408407 0.038932 0 
ZONE I=5
0.0408407 0.038932 0 
0.0416261 0.0396804 0 
0.0424115 0.0404287 0 
0.0431969 0.0411769 0 
0.0439823 0.0419252 0 
ZONE I=5
0.0439823 0.0419252 0 
0.0447677 0.0426734 0 
0.0455531 0.0434216 0 
0.0463385 0.0441698 0 
0.0471239 0.044918 0 
ZONE I=5
0.0471239 0.044918 0 
0.0479093 0.0456661 0 
0.0486947 0.0464142 0 
0.0494801 0.0471623 0 
0.0502655 0.0479103 0 
ZONE I=5
0.0502655 0.0479103 0 
0.0510509 0.0486584 0 
0.0518363 0.0494064 0 
0.0526217 0.0501544 0 
0.0534071 0.0509023 0 
ZONE I=5
0.0534071 0.0509023 0 
0.0541925 0.0516502 0 
0.0549779 0.0523981 0 
0.0557633 0.053146 0 
0.0565487 0.0538938 0 
ZONE I=5
0.0565487 0.0538938 0 
0.0573341 0.0546416 0 
0.0581195 0.0553894 0 
0.0589049 0.0561372 0 
0.0596903 0.0568849 0 
ZONE I=5
0.0596903 0.0568849 0 
0.0604757 0.0576326 0 
0.0612611 0.0583802 0 
0.0620465 0.0591279 0 
0.0628319 0.0598755 0 
ZONE I=5
0.0628319 0.0598755 0 
0.0636173 0.060623 0 
0.0644026 0.0613705 0 
0.065188 0.062118 0 
0.0659734 0.0628655 0 
ZONE I=5
0.0659734 0.0628655 0 
0.0667588 0.0636129 0 
0.0675442 0.0643603 0 
0.0683296 0.0651077 0 
0.069115 0.065855 0 
ZONE I=5
0.069115 0.065855 0 
0.0699004 0.0666023 0 
0.0706858 0.0673495 0 
0.0714712 0.0680968 0 
0.0722566 0.0688439 0 
ZONE I=5
0.0722566 0.0688439 0 
0.073042 0.0695911 0 
0.0738274 0.0703382 0 
0.0746128 0.0710852 0 
0.0753982 0.0718323 0 
ZONE I=5
0.0753982 0.0718323 0 
0.0761836 0.0725793 0 
0.076969 0.0733262 0 
0.0777544 0.0740731 0 
0.0785398 0.07482 0 
ZONE I=5
0.0785398 0.07482 0 
0.0793252 0.0755668 0 
0.0801106 0.0763136 0 
0.080896 0.0770603 0 
0.0816814 0.077807 0 
ZONE I=5
0.0816814 0.077807 0 
0.0824668 0.0785537 0 
0.0832522 0.0793003 0 
0.0840376 0.0800469 0 
0.084823 0.0807934 0 
ZONE I=5
0.084823 0.0807934 0 
0.0856084 0.0815399 0 
0.0863938 0.0822864 0 
0.0871792 0.0830328 0 
0.0879646 0.0837791 0 
ZONE I=5
0.0879646 0.0837791 0 
0.08875 0.0845254 0 
0.0895354 0.0852717 0 
0.0903208 0.0860179 0 
0.0911062 0.0867641 0 
ZONE I=5
0.0911062 0.0867641 0 
0.0918916 0.0875102 0 
0.092677 0.0882563 0 
0.0934624 0.0890023 0 
0.0942478 0.0897483 0 
ZONE I=5
0.0942478 0.0897483 0 
0.0950332 0.0904942 0 
0.0958186 0.0912401 0 
0.096604 0.0919859 0 
0.0973894 0.0927317 0 
ZONE I=5
0.0973894 0.0927317 0 
0.0981748 0.0934774 0 
0.0989602 0.0942231 0 
0.0997456 0.0949687 0 
0.100531 0.0957143 0 
ZONE I=5
0.100531 0.0957143 0 
0.101316 0.0964598 0 
0.102102 0.0972053 0 
0.102887 0.0979507 0 
